case,A,r_star,psi_star,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,numerical_abscissa,max_transient_gain_fixed_metric,time_of_max_gain
stable_node,0.17840322435994352,0.8164982110790737,-0.21718195801678433,-0.010938973995088516,0.0,-0.03485206924518519,0.0,0.0196293256309234,1.519877883903041,41.44203410090153
exceptional_point,0.17845421487754945,0.8150344863116705,-0.21698330159872803,-0.02276564145208001,0.0,-0.022765643784860366,0.0,0.019253315999473216,1.4657984072670263,36.97279512923568
stable_focus,0.1798139620137075,0.7996939323630046,-0.21509598510480432,-0.021370735055396925,0.03964083424726521,-0.021370735055396925,-0.03964083424726521,0.015856756293791553,1.221030418499871,20.31472259848114
