n_last_points,A_min,A_max,Ac_log,inv_c_log,inv_c_standard_error,lambda_u_at_Ac,lambda_s_at_Ac,saddle_quantity,relative_rate_mismatch,delta_AICc_log_over_snic,rms_log,rms_snic,Ac_snic
6,0.385,0.396,0.3961666697988401,0.03196701982703321,3.805434825989864e-05,0.031810669111714825,-0.0652045649357761,-0.03339389582406128,0.0049150401322683454,47.29150725106576,0.037746451947430704,1.9427318288250284,0.3968049359338514
7,0.375,0.396,0.3961645614824983,0.032097755583101295,7.245871223569274e-05,0.03181070124345726,-0.06520471445076692,-0.03339401320730966,0.009023829353748609,47.51709679030314,0.10586466471503336,3.1534105883930463,0.3969717359047132
8,0.365,0.396,0.39616234872224704,0.03223021894442441,9.510395119985094e-05,0.03181073496674694,-0.06520487137220024,-0.0333941364054533,0.013186868461730786,49.05464339185046,0.18042444897096152,3.8708420134115404,0.3971078823263969
9,0.35,0.396,0.3961592619309287,0.03240845496978457,0.00013352191997934184,0.03181078201020463,-0.0652050902762892,-0.03339430826608456,0.018788376827335095,48.45658231070455,0.31028305657556154,4.580288732685876,0.3972489116329038
10,0.335,0.396,0.3961559124056493,0.032598392324223874,0.00016774490709630207,0.03181083305727807,-0.06520532781165786,-0.03339449475437979,0.024757580712449104,48.38416895561923,0.45485435154105763,5.1111806781445965,0.39737777700484483
11,0.325,0.396,0.39615310956548033,0.03275696838877573,0.0001852683810678895,0.03181087577240953,-0.06520552657754433,-0.033394650805134804,0.029741168496429028,49.72410216095309,0.5632902013788788,5.399066852782597,0.3974797657754112
12,0.32,0.396,0.3961510483369856,0.03287418367442336,0.0001897363516376743,0.03181090718517923,-0.0652056727509812,-0.03339476556580197,0.03342490307033774,52.1008913726635,0.628348178403334,5.508044345380888,0.3975550858216336
