Delta,case,A,time,linear_drho2_over_epsilon,nonlinear_drho2_over_epsilon
0.001,node,0.18054031086479327,0.0,1.0,0.9999999999998899
0.001,node,0.18054031086479327,0.2,1.000920051593206,1.000919130489386
0.001,node,0.18054031086479327,0.4,1.001815260898319,1.0018136042611037
0.001,node,0.18054031086479327,0.6000000000000001,1.0026858111681607,1.0026836031284958
0.001,node,0.18054031086479327,0.8,1.0035318856811986,1.0035293089305508
0.001,node,0.18054031086479327,1.0,1.004353667693744,1.004350903491824
0.001,node,0.18054031086479327,1.2000000000000002,1.0051513403940393,1.0051485685702577
0.001,node,0.18054031086479327,1.4000000000000001,1.0059250868581695,1.005922485816102
0.001,node,0.18054031086479327,1.6,1.006675090007737,1.006672836728617
0.001,node,0.18054031086479327,1.8,1.0074015325692436,1.0073998026138842
0.001,node,0.18054031086479327,2.0,1.0081045970351188,1.008103564551499
0.001,node,0.18054031086479327,2.2,1.0087844656263398,1.008784303349053
0.001,node,0.18054031086479327,2.4000000000000004,1.009441320256593,1.009442199512156
0.001,node,0.18054031086479327,2.6,1.010075342497918,1.010077433207801
0.001,node,0.18054031086479327,2.8000000000000003,1.0106867135477933,1.010690184233276
0.001,node,0.18054031086479327,3.0,1.0112756141976058,1.011280631981748
0.001,node,0.18054031086479327,3.2,1.0118422248024643,1.0118489554122867
0.001,node,0.18054031086479327,3.4000000000000004,1.0123867252523076,1.0123953330254398
0.001,node,0.18054031086479327,3.6,1.0129092949442644,1.0129199428310365
0.001,node,0.18054031086479327,3.8000000000000003,1.0134101127562223,1.0134229623215418
0.001,node,0.18054031086479327,4.0,1.013889357021566,1.0139045684498527
0.001,node,0.18054031086479327,4.2,1.0143472055050409,1.0143649376037622
0.001,node,0.18054031086479327,4.4,1.0147838353797103,1.0148042455815354
0.001,node,0.18054031086479327,4.6000000000000005,1.0151994232049613,1.0152226675719245
0.001,node,0.18054031086479327,4.800000000000001,1.0155941449055292,1.015620378131965
0.001,node,0.18054031086479327,5.0,1.0159681757515027,1.015997551169212
0.001,node,0.18054031086479327,5.2,1.0163216903392758,1.0163543599184255
0.001,node,0.18054031086479327,5.4,1.0166548625734169,1.016690976927137
0.001,node,0.18054031086479327,5.6000000000000005,1.0169678656494192,1.0170075740389972
0.001,node,0.18054031086479327,5.800000000000001,1.0172608720373042,1.0173043223726808
0.001,node,0.18054031086479327,6.0,1.0175340534660495,1.0175813923096744
0.001,node,0.18054031086479327,6.2,1.0177875809088104,1.0178389534820642
0.001,node,0.18054031086479327,6.4,1.0180216245689087,1.0180771747525519
0.001,node,0.18054031086479327,6.6000000000000005,1.0182363538665604,1.0182962242044624
0.001,node,0.18054031086479327,6.800000000000001,1.018431937426321,1.018496269130642
0.001,node,0.18054031086479327,7.0,1.0186085430652159,1.0186774760190254
0.001,node,0.18054031086479327,7.2,1.018766337781538,1.0188400105426432
0.001,node,0.18054031086479327,7.4,1.0189054877442874,1.0189840375485204
0.001,node,0.18054031086479327,7.6000000000000005,1.0190261582832287,1.0191097210487943
0.001,node,0.18054031086479327,7.800000000000001,1.0191285138795447,1.019217224209612
0.001,node,0.18054031086479327,8.0,1.0192127181570685,1.0193067093433594
0.001,node,0.18054031086479327,8.200000000000001,1.019278933874067,1.0193783379031096
0.001,node,0.18054031086479327,8.4,1.0193273229155637,1.0194322704693004
0.001,node,0.18054031086479327,8.6,1.0193580462861742,1.019468666747514
0.001,node,0.18054031086479327,8.8,1.0193712641034416,1.0194876855584845
0.001,node,0.18054031086479327,9.0,1.0193671355916507,1.0194894848358782
0.001,node,0.18054031086479327,9.200000000000001,1.0193458190761042,1.0194742216174113
0.001,node,0.18054031086479327,9.4,1.0193074719778454,1.0194420520381886
0.001,node,0.18054031086479327,9.600000000000001,1.0192522508088087,1.0193931313307036
0.001,node,0.18054031086479327,9.8,1.0191803111673843,1.019327613817067
0.001,node,0.18054031086479327,10.0,1.0190918077343827,1.019245652905676
0.001,node,0.18054031086479327,10.200000000000001,1.0189868942693794,1.0191474010878832
0.001,node,0.18054031086479327,10.4,1.0188657236074334,1.0190330099335565
0.001,node,0.18054031086479327,10.600000000000001,1.0187284476561576,1.0189026300921888
0.001,node,0.18054031086479327,10.8,1.0185752173931335,1.0187564112840164
0.001,node,0.18054031086479327,11.0,1.018406182863656,1.018594502301129
0.001,node,0.18054031086479327,11.200000000000001,1.018221493178794,1.0184170510074697
0.001,node,0.18054031086479327,11.4,1.0180212965137574,1.018224204335505
0.001,node,0.18054031086479327,11.600000000000001,1.0178057401065566,1.0180161082828931
0.001,node,0.18054031086479327,11.8,1.017574970256945,1.0177929079147052
0.001,node,0.18054031086479327,12.0,1.017329132325634,1.0175547473600943
0.001,node,0.18054031086479327,12.200000000000001,1.0170683707337664,1.017301769814516
0.001,node,0.18054031086479327,12.4,1.0167928289626442,1.017034117535287
0.001,node,0.18054031086479327,12.600000000000001,1.016502649553694,1.0167519318482476
0.001,node,0.18054031086479327,12.8,1.0161979741086666,1.016455353139989
0.001,node,0.18054031086479327,13.0,1.0158789432900586,1.0161445208645148
0.001,node,0.18054031086479327,13.200000000000001,1.0155456968217464,1.0158195735399111
0.001,node,0.18054031086479327,13.4,1.0151983734898267,1.015480648753897
0.001,node,0.18054031086479327,13.600000000000001,1.0148371111436532,1.0151278831582733
0.001,node,0.18054031086479327,13.8,1.0144620466970626,1.014761412478915
0.001,node,0.18054031086479327,14.0,1.014073316129781,1.0143813715057792
0.001,node,0.18054031086479327,14.200000000000001,1.0136710544890046,1.0139878941051172
0.001,node,0.18054031086479327,14.4,1.0132553958911465,1.0135811132161443
0.001,node,0.18054031086479327,14.600000000000001,1.0128264735237436,1.0131611608554802
0.001,node,0.18054031086479327,14.8,1.012384419647515,1.012728168113819
0.001,node,0.18054031086479327,15.0,1.0119293655985684,1.0122822651636998
0.001,node,0.18054031086479327,15.200000000000001,1.0114614417907453,1.0118235812628384
0.001,node,0.18054031086479327,15.4,1.0109807777181,1.0113522447496859
0.001,node,0.18054031086479327,15.600000000000001,1.0104875019575081,1.0108683830523102
0.001,node,0.18054031086479327,15.8,1.009981742171395,1.0103721226895068
0.001,node,0.18054031086479327,16.0,1.0094636251105844,1.0098635892741292
0.001,node,0.18054031086479327,16.2,1.0089332766172552,1.0093429075108684
