M,eta,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,discriminant,g,gcrit,R_B,bounded_margin,spectral_gap,invariance_residual,spectral_abscissa
4,0.12,-0.0656484937949338,0.0,-0.08917736061315297,0.0,0.0005536075737494954,0.006516517183557785,0.013448676129678257,0.4360539031111962,-0.6197139871629831,0.08285578591940386,1.64830013970729e-16,-0.06564849379493373
4,0.121,-0.06570328272927531,0.0,-0.08911610260565847,0.0,0.0005481601345639631,0.00657158919420895,0.013424820973794572,0.43966059647008565,-0.6133971198231369,0.08292664637826319,1.9545864186702728e-16,-0.0657032827292755
4,0.122,-0.06575841238385965,0.0,-0.0890545042935586,0.0,0.0005427078982651405,0.006626683675681267,0.013401116039488119,0.4432560884302807,-0.6070480801389744,0.08299784851179404,1.5561673358458984e-16,-0.06575841238385981
4,0.123,-0.06581388849223163,0.0,-0.0889925599150494,0.0,0.0005372508089269486,0.006681800706157505,0.01337756191944347,0.446840117388341,-0.6006678189847472,0.08306939801784763,2.376308629201178e-16,-0.06581388849223126
4,0.124,-0.06586971693783823,0.0,-0.08893026355858931,0.0,0.0005317888104478339,0.006736940363027912,0.013354159204792833,0.4504124246976775,-0.594257295355918,0.0831413007439563,1.59287650269227e-16,-0.06586971693783841
4,0.125,-0.065925903759613,0.0,-0.08886760915731978,0.0,0.0005263218465551684,0.006792102722887638,0.01333090848506019,0.4539727547627473,-0.587817475866245,0.083213562692914,1.561196446739051e-16,-0.0659259037596132
4,0.126,-0.06598245515784242,0.0,-0.08880459048320023,0.0,0.0005208498608089453,0.006847287861537459,0.013307810348099892,0.457520855131384,-0.5813493342396943,0.0832861900286276,1.646559678492396e-16,-0.06598245515784236
4,0.127,-0.06603937750031615,0.0,-0.08874120114086682,0.0,0.000515372796606666,0.006902495853983468,0.013284865380045275,0.4610564765845293,-0.5748538507989187,0.08335918908225685,2.023244573738848e-16,-0.0660393775003161
4,0.128,-0.06609667732880786,0.0,-0.08867743456115643,0.0,0.000509890597186262,0.006957726774439451,0.013262074165239656,0.46457937322424137,-0.5683320119491421,0.08343256635868485,1.4892875483326936e-16,-0.06609667732880789
4,0.129,-0.06615436136585881,0.0,-0.08861328399432991,0.0,0.0005044032056316511,0.0070129806963237,0.013239437286188626,0.4680893025584168,-0.5617848096607498,0.08350632854328527,1.1415121058019067e-16,-0.06615436136585882
4,0.13,-0.06621243652194043,0.0,-0.08854874250291214,0.0,0.0004989105648755927,0.0070682576922624545,0.013216955323489805,0.47158602558399654,-0.5552132409477804,0.08358048250908123,2.3467952984850763e-16,-0.0662124365219402
4,0.131,-0.06627090990297307,0.0,-0.088483802954181,0.0,0.0004934126177044019,0.007123557834087152,0.013194628855776313,0.4750693068669313,-0.548618307345947,0.08365503532424585,1.9630255068492482e-16,-0.06627090990297288
4,0.132,-0.06632978881825197,0.0,-0.08841845801224851,0.0,0.0004879093067618124,0.007178881192838521,0.013172458459655272,0.4785389146200346,-0.5420010143885585,0.08372999426002001,1.2891244758220836e-16,-0.06632978881825165
4,0.133,-0.06638908078879202,0.0,-0.0883527001297164,0.0,0.000482400574553027,0.007234227838762397,0.013150444709643154,0.48199462077783933,-0.5353623710824538,0.08380536679904711,2.067233742420218e-16,-0.06638908078879162
4,0.134,-0.06644879355612818,0.0,-0.08828652153888612,0.0,0.0004768863634489291,0.007289597841314455,0.013128588178106915,0.48543620106904,-0.5287033893833171,0.08388116064416017,2.379987813360204e-16,-0.0664487935561282
4,0.135,-0.06650893509160385,0.0,-0.08821991424247395,0.0,0.0004713666156895167,0.007344991269157896,0.01310688943519342,0.4888634350861432,-0.5220250836715525,0.08395738372766036,2.2581664360195857e-16,-0.06650893509160402
4,0.136,-0.06656951360616055,0.0,-0.08815287000382839,0.0,0.000465841273388749,0.007400408190164531,0.013085349048773653,0.49227610635207186,-0.5153284702296872,0.08403404422109352,1.9546461821906563e-16,-0.06656951360616054
4,0.137,-0.0666305375606916,0.0,-0.08808538033657591,0.0,0.0004603102785379153,0.007455848671415356,0.013063967584372099,0.4956740023843155,-0.5086145667206272,0.08411115054560038,1.1263019938994044e-16,-0.06663053756069168
4,0.138,-0.0666920156769828,0.0,-0.08801743649369434,0.0,0.0004547735730098335,0.007511312779201339,0.013042745605103694,0.49905691475599484,-0.5018843916684554,0.08418871138283593,1.2265422531013025e-16,-0.06669201567698275
4,0.13899999999999998,-0.06675395694928148,0.0,-0.08794902945594223,0.0,0.0004492310985626063,0.007566800579023913,0.01302168367160592,0.5024246391541327,-0.4951389639416791,0.08426673568653571,9.481520018610768e-17,-0.06675395694928146
