case,A,epsilon,time,nonlinear_delta_r_over_epsilon,linear_delta_r_over_epsilon,nonlinear_delta_psi_over_epsilon,linear_delta_psi_over_epsilon
stable_node,0.17840322435994366,-0.01,21.5,0.9815781629344378,1.0660294891288344,-0.26576595330663755,-0.18100129959387082
stable_node,0.17840322435994366,-0.01,21.75,0.9793497663158512,1.0655553588517572,-0.26710068693032996,-0.18210758456595458
stable_node,0.17840322435994366,-0.01,22.0,0.977092360295928,1.06506138026934,-0.2684022047210355,-0.18319696278240477
stable_node,0.17840322435994366,-0.01,22.25,0.9748064693932301,1.0645477910079277,-0.26967077677127194,-0.18426960087460975
stable_node,0.17840322435994366,-0.01,22.5,0.9724926145516566,1.0640148264537024,-0.2709066737756366,-0.18532566397388514
stable_node,0.17840322435994366,-0.01,22.75,0.9701513131159079,1.0634627197726048,-0.27211016699133783,-0.18636531572463558
stable_node,0.17840322435994366,-0.01,23.0,0.9677830788076713,1.0628917019300828,-0.2732815281985629,-0.1873887182974029
stable_node,0.17840322435994366,-0.01,23.25,0.9653884217028175,1.0623020017106655,-0.2744210296606625,-0.18839603240179978
stable_node,0.17840322435994366,-0.01,23.5,0.9629678482093396,1.0616938457373677,-0.27552894408435225,-0.18938741729933162
stable_node,0.17840322435994366,-0.01,23.75,0.9605218610461819,1.061067458490924,-0.2766055445802107,-0.19036303081610606
stable_node,0.17840322435994366,-0.01,24.0,0.9580509592229114,1.0604230623288555,-0.27765110462289466,-0.19132302935543238
stable_node,0.17840322435994366,-0.01,24.25,0.9555556380202113,1.059760877504368,-0.2786658980114459,-0.19226756791031088
stable_node,0.17840322435994366,-0.01,24.5,0.9530363889712623,1.0590811221850869,-0.2796501988299366,-0.19319680007581366
stable_node,0.17840322435994366,-0.01,24.75,0.9504936998439018,1.058384012471627,-0.28060428140785076,-0.19411087806135743
stable_node,0.17840322435994366,-0.01,25.0,0.9479280546236923,1.0576697624160014,-0.28152842028096314,-0.1950099527028698
stable_node,0.17840322435994366,-0.01,25.25,0.9453399334977797,1.056938584039867,-0.28242289015198707,-0.1958941734748491
stable_node,0.17840322435994366,-0.01,25.5,0.9427298128395933,1.0561906873526126,-0.2832879658517473,-0.19676368850231987
stable_node,0.17840322435994366,-0.01,25.75,0.9400981651943141,1.055426280369288,-0.28412392230026395,-0.1976186445726834
stable_node,0.17840322435994366,-0.01,26.0,0.937445459265307,1.0546455691283756,-0.28493103446805557,-0.19845918714746597
stable_node,0.17840322435994366,-0.01,26.25,0.9347721599012537,1.053848757709408,-0.28570957733778657,-0.19928546037396394
stable_node,0.17840322435994366,-0.01,26.5,0.9320787280840848,1.0530360482504302,-0.286459825866045,-0.20009760709678825
stable_node,0.17840322435994366,-0.01,26.75,0.9293656209178214,1.0522076409653098,-0.2871820549454729,-0.20089576886930743
stable_node,0.17840322435994366,-0.01,27.0,0.9266332916181286,1.0513637341608948,-0.2878765393667909,-0.2016800859649919
stable_node,0.17840322435994366,-0.01,27.25,0.9238821895027227,1.0505045242540232,-0.28854355378167273,-0.20245069738865895
stable_node,0.17840322435994366,-0.01,27.5,0.9211127599824787,1.0496302057883808,-0.2891833726655274,-0.20320774088761967
stable_node,0.17840322435994366,-0.01,27.75,0.9183254445534916,1.048740971451215,-0.2897962702805429,-0.20395135296272915
stable_node,0.17840322435994366,-0.01,28.0,0.9155206807897276,1.0478370120898994,-0.2903825206392985,-0.2046816688793403
stable_node,0.17840322435994366,-0.01,28.25,0.9126989023365062,1.0469185167283548,-0.29094239746848827,-0.20539882267816204
stable_node,0.17840322435994366,-0.01,28.5,0.9098605389048386,1.045985672583326,-0.29147617417312754,-0.20610294718602365
stable_node,0.17840322435994366,-0.01,28.75,0.9070060162664095,1.0450386650805175,-0.29198412380104233,-0.20679417402654393
stable_node,0.17840322435994366,-0.01,29.0,0.9041357562493357,1.044077677870586,-0.29246651900763365,-0.20747263363070906
stable_node,0.17840322435994366,-0.01,29.25,0.9012501767346692,1.0431028928449935,-0.29292363202119975,-0.20813845524735716
stable_node,0.17840322435994366,-0.01,29.5,0.898349691653666,1.042114490151723,-0.29335573460864683,-0.20879176695357224
stable_node,0.17840322435994366,-0.01,29.75,0.8954347109856986,1.0411126482108544,-0.2937630980413386,-0.20943269566498676
stable_node,0.17840322435994366,-0.01,30.0,0.8925056407570131,1.0400975437300064,-0.2941459930615481,-0.21006136714599552
stable_node,0.17840322435994366,-0.01,30.25,0.8895628830400182,1.0390693517196414,-0.2945046898494924,-0.2106779060198796
stable_node,0.17840322435994366,-0.01,30.5,0.8866068359534074,1.0380282455082364,-0.29483945799025635,-0.2112824357788429
stable_node,0.17840322435994366,-0.01,30.75,0.8836378936629585,1.036974396757323,-0.29515056644174864,-0.21187507879396023
stable_node,0.17840322435994366,-0.01,31.0,0.8806564463829436,1.0359079754763934,-0.2954382835027719,-0.21245595632503994
stable_node,0.17840322435994366,-0.01,31.25,0.8776628803782716,1.034829150037677,-0.2957028767815062,-0.21302518853039965
stable_node,0.17840322435994366,-0.01,31.5,0.874657577967286,1.033738087190788,-0.29594461316465315,-0.2135828944765574
stable_node,0.17840322435994366,-0.01,31.75,0.8716409175251405,1.0326349520772433,-0.29616375878688816,-0.214129192147838
stable_node,0.17840322435994366,-0.01,32.0,0.8686132734879615,1.0315199082448554,-0.29636057900076507,-0.21466419845589554
stable_node,0.17840322435994366,-0.01,32.25,0.8655750163575004,1.030393117661996,-0.29653533834723134,-0.21518802924915378
stable_node,0.17840322435994366,-0.01,32.5,0.862526512706463,1.029254740731739,-0.2966883005263876,-0.21570079932216324
stable_node,0.17840322435994366,-0.01,32.75,0.8594681251845371,1.0281049363058745,-0.29681972836913817,-0.21620262242487714
stable_node,0.17840322435994366,-0.01,33.0,0.8564002125248327,1.0269438616988058,-0.2969298838087997,-0.21669361127184694
stable_node,0.17840322435994366,-0.01,33.25,0.8533231295511201,1.025771672701319,-0.29701902785359835,-0.217173877551337
stable_node,0.17840322435994366,-0.01,33.5,0.850237227185513,1.0245885235942362,-0.29708742055952475,-0.21764353193436023
stable_node,0.17840322435994366,-0.01,33.75,0.8471428524568059,1.0233945671619462,-0.2971353210037081,-0.21810268408363515
stable_node,0.17840322435994366,-0.01,34.0,0.8440403485092784,1.0221899547058189,-0.29716298725826207,-0.21855144266246435
stable_node,0.17840322435994366,-0.01,34.25,0.8409300546122211,1.0209748360575004,-0.2971706763645443,-0.21898991534353607
stable_node,0.17840322435994366,-0.01,34.5,0.8378123061697607,1.019749359592093,-0.2971586443083096,-0.21941820881764892
stable_node,0.17840322435994366,-0.01,34.75,0.8346874347315181,1.0185136722412182,-0.2971271459948771,-0.21983642880236023
stable_node,0.17840322435994366,-0.01,35.0,0.8315557680034669,1.017267919505967,-0.29707643522499105,-0.22024468005055975
stable_node,0.17840322435994366,-0.01,35.25,0.8284176298595902,1.0160122454697342,-0.2970067646715341,-0.22064306635896766
stable_node,0.17840322435994366,-0.01,35.5,0.8252733403538381,1.0147467928109433,-0.2969183858561292,-0.2210316905765594
stable_node,0.17840322435994366,-0.01,35.75,0.822123215732673,1.0134717028156568,-0.2968115491266937,-0.22141065461291648
stable_node,0.17840322435994366,-0.01,36.0,0.8189675684481035,1.0121871153900794,-0.2966865036355487,-0.22178005944650467
stable_node,0.17840322435994366,-0.01,36.25,0.8158067071711184,1.0108931690729466,-0.2965434973177278,-0.2221400051328802
stable_node,0.17840322435994366,-0.01,36.5,0.812640936805642,1.0095900010478103,-0.2963827768700522,-0.2224905908128241
stable_node,0.17840322435994366,-0.01,36.75,0.8094705585029338,1.008277747155213,-0.296204587730603,-0.22283191472040575
stable_node,0.17840322435994366,-0.01,37.0,0.8062958696763878,1.0069565419047555,-0.2960091740588283,-0.2231640741909762
stable_node,0.17840322435994366,-0.01,37.25,0.8031171640167867,1.0056265184870612,-0.29579677871604815,-0.2234871656690919
stable_node,0.17840322435994366,-0.01,37.5,0.799934731508023,1.0042878087856324,-0.29556764324651374,-0.223801284716369
stable_node,0.17840322435994366,-0.01,37.75,0.7967488584431304,1.0029405433886047,-0.29532200785902796,-0.2241065260192693
stable_node,0.17840322435994366,-0.01,38.0,0.7935598274407818,1.0015848516003971,-0.29506011140892074,-0.22440298339681877
stable_node,0.17840322435994366,-0.01,38.25,0.790367917462198,1.0002208614532613,-0.29478219138102113,-0.22469074980825787
stable_node,0.17840322435994366,-0.01,38.5,0.7871734038283118,0.998848699718727,-0.2944884838722378,-0.2249699173606259
stable_node,0.17840322435994366,-0.01,38.75,0.7839765582374758,0.9974684919189512,-0.29417922357564685,-0.22524057731627933
stable_node,0.17840322435994366,-0.01,39.0,0.7807776487833928,0.9960803623379629,-0.29385464376433523,-0.22550282010034328
stable_node,0.17840322435994366,-0.01,39.25,0.7775769399734456,0.9946844340328131,-0.2935149762761907,-0.22575673530809987
stable_node,0.17840322435994366,-0.01,39.5,0.7743746927473483,0.9932808288446243,-0.2931604514990249,-0.22600241171231072
stable_node,0.17840322435994366,-0.01,39.75,0.7711711644961539,0.9918696674095454,-0.29279129835619033,-0.22623993727047614
stable_node,0.17840322435994366,-0.01,40.0,0.7679666090815718,0.9904510691696075,-0.29240774429266925,-0.22646939913203126
stable_node,0.17840322435994366,-0.01,40.25,0.7647612768555301,0.9890251523834873,-0.29201001526171777,-0.2266908836454785
stable_node,0.17840322435994366,-0.01,40.5,0.7615554146801928,0.9875920341371753,-0.29159833571217597,-0.22690447636545896
stable_node,0.17840322435994366,-0.01,40.75,0.7583492659480884,0.9861518303545483,-0.29117292857567256,-0.22711026205976134
stable_node,0.17840322435994366,-0.01,41.0,0.755143070602593,0.9847046558078526,-0.2907340152550508,-0.22730832471626972
stable_node,0.17840322435994366,-0.01,41.25,0.7519370651587476,0.9832506241280905,-0.29028181561280286,-0.22749874754985153
stable_node,0.17840322435994366,-0.01,41.5,0.7487314827242297,0.9817898478153214,-0.28981654796010337,-0.22768161300918444
stable_node,0.17840322435994366,-0.01,41.75,0.745526553020659,0.9803224382488682,-0.2893384290463291,-0.2278570027835243
stable_node,0.17840322435994366,-0.01,42.0,0.7423225024050684,0.9788485056974338,-0.288847674049203,-0.2280249978094137
stable_node,0.17840322435994366,-0.01,42.25,0.7391195538916873,0.9773681593291329,-0.2883444965647103,-0.22818567827733252
stable_node,0.17840322435994366,-0.01,42.5,0.7359179271739347,0.9758815072214307,-0.2878291085986695,-0.2283391236382898
stable_node,0.17840322435994366,-0.01,42.75,0.7327178386465238,0.974388656370998,-0.28730172055764225,-0.22848541261035848
stable_node,0.17840322435994366,-0.01,43.0,0.7295195014279887,0.9728897127034781,-0.28676254124078426,-0.22862462318515311
stable_node,0.17840322435994366,-0.01,43.25,0.7263231253831659,0.9713847810831677,-0.2862117778322987,-0.22875683263425084
stable_node,0.17840322435994366,-0.01,43.5,0.7231289171460431,0.9698739653226142,-0.28564963589376435,-0.22888211751555684
stable_node,0.17840322435994366,-0.01,43.75,0.7199370801427074,0.9683573681921258,-0.28507631935762445,-0.22900055367961344
stable_node,0.17840322435994366,-0.01,44.0,0.7167478146144823,0.9668350914292022,-0.28449203052049454,-0.2291122162758548
stable_node,0.17840322435994366,-0.01,44.25,0.7135613176412425,0.9653072357478792,-0.28389697003715075,-0.229217179758807
stable_node,0.17840322435994366,-0.01,44.5,0.7103777831648839,0.963773900847992,-0.28329133691499253,-0.22931551789423357
stable_node,0.17840322435994366,-0.01,44.75,0.7071974020129379,0.9622351854243567,-0.2826753285088385,-0.22940730376522803
stable_node,0.17840322435994366,-0.01,45.0,0.7040203619222751,0.9606911871758731,-0.2820491405160469,-0.22949260977825223
stable_node,0.17840322435994366,-0.01,45.25,0.7008468475630636,0.9591420028145443,-0.2814129669722165,-0.22957150766912335
stable_node,0.17840322435994366,-0.01,45.5,0.6976770405627053,0.9575877280744212,-0.2807670002471757,-0.22964406850894772
stable_node,0.17840322435994366,-0.01,45.75,0.6945111195300613,0.9560284577204625,-0.2801114310413272,-0.2297103627100028
stable_node,0.17840322435994366,-0.01,46.0,0.6913492600795768,0.9544642855573238,-0.2794464483826059,-0.22977046003156842
stable_node,0.17840322435994366,-0.01,46.25,0.688191634855706,0.952895304438062,-0.27877223962340936,-0.2298244295857067
stable_node,0.17840322435994366,-0.01,46.5,0.6850384135572929,0.9513216062727718,-0.27808899043827995,-0.22987233984299135
stable_node,0.17840322435994366,-0.01,46.75,0.6818897629621512,0.9497432820371364,-0.2773968848218955,-0.22991425863818774
stable_node,0.17840322435994366,-0.01,47.0,0.6787458469516006,0.9481604217809114,-0.27669610508716524,-0.22995025317588208
stable_node,0.17840322435994366,-0.01,47.25,0.6756068265352133,0.946573114636329,-0.2759868318640918,-0.22998039003606294
stable_node,0.17840322435994366,-0.01,47.5,0.6724728598755059,0.9449814488264315,-0.2752692440984972,-0.230004735179653
stable_node,0.17840322435994366,-0.01,47.75,0.6693441023127966,0.9433855116733281,-0.2745435190516149,-0.23002335395399265
stable_node,0.17840322435994366,-0.01,48.0,0.6662207063900083,0.9417853896063826,-0.27380983229960965,-0.23003631109827619
