case,A,beta,epsilon,spectral_class,spectral_abscissa,relative_L2_error_delta_r,relative_L2_error_full_state,max_abs_error_delta_r_over_epsilon,max_abs_nonlinear_delta_r_over_epsilon,time_of_max_abs_delta_r,delta_r_zero_crossings,final_physical_displacement,returned_to_local_neighborhood_by_tend,left_local_basin_by_tend
exceptional_point,0.17845421487754967,0.1,-0.05,exceptional_point,-0.022765641727624953,5.652677732444746,7.912457963923063,3.6993498821644235,3.6993099453572476,600.0,1,0.2851192852939642,0,1
exceptional_point,0.17845421487754967,0.1,-0.03,exceptional_point,-0.022765641727624953,0.7159171822670388,0.7203359644670639,0.6803185283048576,1.0246040666115712,4.5,1,2.1278799398361297e-06,1,0
exceptional_point,0.17845421487754967,0.1,-0.01,exceptional_point,-0.022765641727624953,0.36797092417516036,0.36844556215248714,0.33540520295101994,1.0392417873893445,8.0,1,8.834365573573559e-08,1,0
exceptional_point,0.17845421487754967,0.1,-0.003,exceptional_point,-0.022765641727624953,0.14370922001737396,0.1433333520372426,0.1247702383257856,1.0512066492578038,11.0,0,1.6956481045090973e-08,1,0
exceptional_point,0.17845421487754967,0.1,-0.001,exceptional_point,-0.022765641727624953,0.052860534532742566,0.0526461382531702,0.044942557037828235,1.0563868595091508,12.5,0,1.7038385913291756e-08,1,0
exceptional_point,0.17845421487754967,0.1,-0.0003,exceptional_point,-0.022765641727624953,0.01647422429548089,0.0163983515844468,0.013888006962801902,1.0585002100382823,13.0,0,6.9696709561236395e-09,1,0
exceptional_point,0.17845421487754967,0.1,-0.0001,exceptional_point,-0.022765641727624953,0.00555377959970783,0.005527302292992816,0.00466995122451247,1.0591371304902175,13.25,0,2.5316972168861244e-09,1,0
exceptional_point,0.17845421487754967,0.1,-3e-05,exceptional_point,-0.022765641727624953,0.0016728078201440405,0.0016647371431304017,0.0014053155095168912,1.0593647707575944,13.25,0,7.825586610770527e-10,1,0
exceptional_point,0.17845421487754967,0.1,-1e-05,exceptional_point,-0.022765641727624953,0.0005582420156388677,0.000555539565969303,0.00046885369031601787,1.0594297752186677,13.25,0,2.630882988146552e-10,1,0
exceptional_point,0.17845421487754967,0.1,-3e-06,exceptional_point,-0.022765641727624953,0.00016753562554815734,0.00016672375588867803,0.00014069755841839005,1.05945252322955,13.25,0,7.916332620465095e-11,1,0
exceptional_point,0.17845421487754967,0.1,-1e-06,exceptional_point,-0.022765641727624953,5.58378165220226e-05,5.5567384598967974e-05,4.68968874841047e-05,1.0594590224011213,13.25,0,2.6409781013946303e-11,1,0
exceptional_point,0.17845421487754967,0.1,1e-06,exceptional_point,-0.022765641727624953,5.58410048537625e-05,5.557051744512481e-05,4.6898639416814714e-05,1.0594655197593283,13.25,0,2.641760371188893e-11,1,0
exceptional_point,0.17845421487754967,0.1,3e-06,exceptional_point,-0.022765641727624953,0.00016759532180230427,0.0001667823374845656,0.0001407366508521246,1.059472019560026,13.25,0,7.935125166639427e-11,1,0
exceptional_point,0.17845421487754967,0.1,1e-05,exceptional_point,-0.022765641727624953,0.0005588831722495923,0.0005561684571084716,0.0004692691335520527,1.059494763810953,13.25,0,2.653300966457231e-10,1,0
exceptional_point,0.17845421487754967,0.1,3e-05,exceptional_point,-0.022765641727624953,0.0016785817416600263,0.0016704005411837294,0.0014090574954979673,1.0595597366824805,13.25,0,8.027955914963377e-10,1,0
exceptional_point,0.17845421487754967,0.1,0.0001,exceptional_point,-0.022765641727624953,0.005617935950079479,0.005590230540124774,0.004711523720130506,1.0597877181839355,13.5,0,2.7567535445791326e-09,1,0
exceptional_point,0.17845421487754967,0.1,0.0003,exceptional_point,-0.022765641727624953,0.017051888562355996,0.016964956583526085,0.014262268205426254,1.0604610608870118,13.5,0,9.00036602787249e-09,1,0
exceptional_point,0.17845421487754967,0.1,0.001,exceptional_point,-0.022765641727624953,0.059311625786975235,0.05897354574464072,0.04911637449714473,1.0629531427169825,14.25,0,4.025733511404699e-08,1,0
exceptional_point,0.17845421487754967,0.1,0.003,exceptional_point,-0.022765641727624953,0.2045258430909927,0.20296877465067376,0.1636119631431346,1.0716126501420693,16.75,0,2.883144347002879e-07,1,0
exceptional_point,0.17845421487754967,0.1,0.01,exceptional_point,-0.022765641727624953,27.906376440527367,39.35795732535206,18.496525777992026,18.49654984004545,600.0,0,0.28511938269186743,0,1
exceptional_point,0.17845421487754967,0.1,0.03,exceptional_point,-0.022765641727624953,15.705575083371636,23.25711380194834,6.165493060890808,6.165517122944231,417.75,0,0.2851210171605522,0,1
exceptional_point,0.17845421487754967,0.1,0.05,exceptional_point,-0.022765641727624953,9.587189614514541,14.404501412933117,3.699286211713115,3.6993102737665384,380.25,0,0.28512101716055216,0,1
stable_focus,0.1798139620137104,0.1,-0.05,stable_focus,-0.021370735055395003,0.6542247638101425,0.6425308218484901,0.5599886383130773,1.0135861002793667,2.25,6,2.403769324541791e-07,1,0
stable_focus,0.1798139620137104,0.1,-0.03,stable_focus,-0.021370735055395003,0.44681901513221256,0.4438914698388139,0.39179714791913156,1.016201809930617,2.75,6,7.303946376096125e-08,1,0
stable_focus,0.1798139620137104,0.1,-0.01,stable_focus,-0.021370735055395003,0.18205659624409185,0.18135383904690863,0.15738691007765204,1.0204864352337806,3.75,6,2.3202990417901538e-08,1,0
stable_focus,0.1798139620137104,0.1,-0.003,stable_focus,-0.021370735055395003,0.0596902128855608,0.059390918510061404,0.050989670305937596,1.0227670080356448,4.25,6,7.834066113638013e-09,1,0
stable_focus,0.1798139620137104,0.1,-0.001,stable_focus,-0.021370735055395003,0.020454506163363386,0.020340363579734906,0.017399999971048796,1.0235531434144018,4.5,6,2.733140817819641e-09,1,0
stable_focus,0.1798139620137104,0.1,-0.0003,stable_focus,-0.021370735055395003,0.006197675105139652,0.006161692950090872,0.005263931028115093,1.023827524983719,4.5,6,8.340064602322035e-10,1,0
stable_focus,0.1798139620137104,0.1,-0.0001,stable_focus,-0.021370735055395003,0.002071824185654313,0.0020596566868472193,0.00175887444610201,1.023914956276295,4.75,6,2.7938601539366113e-10,1,0
stable_focus,0.1798139620137104,0.1,-3e-05,stable_focus,-0.021370735055395003,0.0006221731352705705,0.0006185044278572691,0.0005281071565365891,1.023946045515996,4.75,6,8.39602103601373e-11,1,0
stable_focus,0.1798139620137104,0.1,-1e-05,stable_focus,-0.021370735055395003,0.00020745099778127725,0.00020622629255433872,0.00017607835413194217,1.0239549226187528,4.75,6,2.8003675059358984e-11,1,0
stable_focus,0.1798139620137104,0.1,-3e-06,stable_focus,-0.021370735055395003,6.22422991259894e-05,6.187465284533587e-05,5.282855487653837e-05,1.0239580289228556,4.75,6,8.402663970343534e-12,1,0
stable_focus,0.1798139620137104,0.1,-1e-06,stable_focus,-0.021370735055395003,2.0749723396130796e-05,2.06266299780119e-05,1.761117031240378e-05,1.0239589168792307,4.75,6,2.8044990711391994e-12,1,0
stable_focus,0.1798139620137104,0.1,1e-06,stable_focus,-0.021370735055395003,2.074811904574654e-05,2.0625149177470046e-05,1.7610100032317e-05,1.0239598042804943,4.75,6,2.798504233396268e-12,1,0
stable_focus,0.1798139620137104,0.1,3e-06,stable_focus,-0.021370735055395003,6.224680987223784e-05,6.187902919213372e-05,5.283185147367253e-05,1.0239606914227057,4.75,6,8.401883535056664e-12,1,0
stable_focus,0.1798139620137104,0.1,1e-05,stable_focus,-0.021370735055395003,0.00020751049669067464,0.00020628402044244534,0.00017612048262968805,1.0239637972864202,4.75,6,2.8010564361737134e-11,1,0
stable_focus,0.1798139620137104,0.1,3e-05,stable_focus,-0.021370735055395003,0.0006227107779644858,0.0006190261370868078,0.000528488609898875,1.0239726694745894,4.75,6,8.408395778462381e-11,1,0
stable_focus,0.1798139620137104,0.1,0.0001,stable_focus,-0.021370735055395003,0.002077798563088103,0.002065454058301182,0.001763116316702229,1.0240037027753335,4.75,6,2.807793286655231e-10,1,0
stable_focus,0.1798139620137104,0.1,0.0003,stable_focus,-0.021370735055395003,0.006251445292360464,0.006213869951521141,0.00530226419627805,1.0240922034136328,4.75,6,8.465922790559077e-10,1,0
stable_focus,0.1798139620137104,0.1,0.001,stable_focus,-0.021370735055395003,0.021052130057588547,0.020920265952231662,0.01782610841741772,1.0244000196552028,4.75,6,2.8729681842532076e-09,1,0
stable_focus,0.1798139620137104,0.1,0.003,stable_focus,-0.021370735055395003,0.06508290934509077,0.06462257322563034,0.054832465274141706,1.0253220279504704,5.0,6,9.092077959489196e-09,1,0
stable_focus,0.1798139620137104,0.1,0.01,stable_focus,-0.021370735055395003,0.24383670079817482,0.24113655909183157,0.20099828431757916,1.0293465801596735,6.0,6,3.7020346558250935e-08,1,0
stable_focus,0.1798139620137104,0.1,0.03,stable_focus,-0.021370735055395003,1.271003494932356,1.2137928023699232,0.8943737497593229,1.0623322728306204,16.0,6,1.976721849423104e-07,1,0
stable_focus,0.1798139620137104,0.1,0.05,stable_focus,-0.021370735055395003,17.16901056919408,22.089239039152414,4.012482842683461,4.006121352740268,410.75,0,0.2939197229523831,0,1
