n_last_points,A_min,A_max,A_c_manifold,inv_c_log_fixed_Ac,lambda_u_at_connection,relative_rate_mismatch,rms_log_fixed_Ac,rms_snic_fixed_Ac,delta_AICc_log_over_snic_fixed_Ac,A_c_log_free,inv_c_log_free,A_c_snic_free,rms_log_free_Ac,rms_snic_free_Ac,delta_AICc_log_over_snic_free_Ac
6,0.35368,0.353696,0.3536965438214499,0.05339483254519209,0.05339641915046266,2.971370170154744e-05,0.00027877583273667913,5.404446084824339,118.4678943580193,0.3536965438704394,0.053393554708072236,0.353697871635844,0.00012584555967523663,0.9017343628362006,106.52423783309342
7,0.35366,0.353696,0.3536965438214499,0.05339382924442104,0.05339641915046266,4.850336563423992e-05,0.0006339484096058905,7.727168778724681,131.7159971559011,0.35369654391224076,0.0533919827564298,0.35369839848705825,0.0003601145649469391,1.6504111155971244,118.02157862630418
8,0.35365,0.353696,0.3536965438214499,0.05339319356623775,0.05339641915046266,6.040824977079288e-05,0.0007980106183853446,8.797057507203478,148.92489513188673,0.35369654393408173,0.05339120315882349,0.3536986601992329,0.0004548869297667502,1.8385750989612508,132.8712407164952
9,0.35363,0.353696,0.3536965438214499,0.05339244755883561,0.05339641915046266,7.437936270320106e-05,0.0010672412140510488,9.771575230859332,164.19880708473252,0.3536965439651362,0.05339018857299922,0.3536989765539571,0.0006609890324527972,2.1427976761010115,145.50994100007065
10,0.35358,0.353696,0.3536965438214499,0.05339109144889902,0.05339641915046266,9.97763829186244e-05,0.0017995786774914495,11.224661554331693,174.76631983301058,0.3536965440360434,0.05338812566019165,0.35369958908066285,0.0012772592165458615,2.843117669982239,154.15879910066982
11,0.3535,0.353696,0.3536965438214499,0.05338907176359165,0.05339641915046266,0.0001376007415460109,0.002997126190900161,12.92196394786801,184.118657380816,0.35369654415059204,0.05338507297589668,0.3537005213594548,0.0022592542637650662,3.6360754852933033,162.4397594284834
12,0.3534,0.353696,0.3536965438214499,0.05338663666074663,0.05339641915046266,0.00018320497650711398,0.004432508884855149,14.540101342101817,194.2967989800663,0.3536965442915081,0.053381550624771706,0.3537016540959373,0.003413997742458353,4.272006096809355,171.16691627238558
13,0.3532,0.353696,0.3536965438214499,0.05338303215457446,0.05339641915046266,0.0002507096187568878,0.006911288777568499,16.37121845112686,202.02322322280781,0.3536965445160196,0.05337633904730042,0.35370326119506873,0.005490504811800082,4.99557102225272,177.1454568227845
14,0.353,0.353696,0.3536965438214499,0.053379095101341395,0.05339641915046266,0.00032444215168146956,0.009487319057612431,17.98858373251331,211.33102277570663,0.3536965447613927,0.05337090488523952,0.3537049477442112,0.007607349115235983,5.517306426364103,184.422847980893
15,0.3525,0.353696,0.3536965438214499,0.05337292210286927,0.05339641915046266,0.00044004912627518955,0.014493743061209477,19.89298569234942,216.73216282585048,0.35369654518038257,0.05336225356521632,0.3537072967689618,0.011956293267028227,6.232151148961083,187.68657203885468
16,0.352,0.353696,0.3536965438214499,0.053365977724831516,0.05339641915046266,0.0005701023798124258,0.01986735423892134,21.638488529010534,223.78083168675374,0.3536965456551544,0.05335286458104234,0.35370976950138394,0.016541495008434985,6.811745515680573,192.65701151631532
17,0.351,0.353696,0.3536965438214499,0.053356472076692085,0.05339641915046266,0.000748122709464973,0.028201995696953416,23.49896923185768,228.66084912325968,0.3536965463403116,0.05334004117320435,0.35371280234852165,0.023856098450588305,7.493098908548091,195.48972674770695
18,0.35,0.353696,0.3536965438214499,0.05334610821298718,0.05339641915046266,0.0009422155694318899,0.03691693248595258,25.19583829457891,234.9274965144153,0.3536965470939329,0.05332645287794928,0.353715954868185,0.03141375740377242,8.070221117078056,199.75284827764892
19,0.348,0.353696,0.3536965438214499,0.053332556974003485,0.05339641915046266,0.0011960011078499108,0.04968984409708118,26.97932990241667,239.2869775320748,0.35369654812799667,0.053308708308196506,0.3537197841640379,0.042755679873537636,8.753582900079085,202.2252201880621
20,0.345,0.353696,0.3536965438214499,0.05331562860382804,0.05339641915046266,0.001513033044537346,0.0664750012372809,28.822138974770823,242.8829251789763,0.3536965494688333,0.05328674003251446,0.3537244082730419,0.057747586527871576,9.513345353762423,204.17477236373702
21,0.34,0.353696,0.3536965438214499,0.05329454435121792,0.05339641915046266,0.0019078957140865127,0.0882076408209568,30.766627123039324,245.88867477986236,0.3536965512025409,0.05325964890741502,0.35373021617067124,0.07720030713014583,10.378472656481422,205.84559383835375
22,0.32,0.353696,0.3536965438214499,0.053261080833255765,0.05339641915046266,0.002534595378494005,0.1266251444824688,33.51465339684267,245.45430507011474,0.3536965541809843,0.053216586189161454,0.3537405652177451,0.11173678172713629,11.983385995931974,205.7057431857292
23,0.3,0.353696,0.3536965438214499,0.05323472164624153,0.05339641915046266,0.0030282462156401824,0.1468655716012846,36.18746373797932,253.31971576744618,0.3536965564065776,0.05318543372170873,0.3537540617774828,0.12794608193607324,13.375224653083071,213.87931967946622
