beta,r_section,epsilon,A_connection,splitting_delta_psi,unstable_flight_time,stable_backward_flight_time
0.1,0.4,1e-05,0.3536965438216164,-9.703349235223868e-14,196.91548034971794,108.39415443869169
0.1,0.4,1e-06,0.35369654382145055,-9.892087149410145e-14,240.03729435789887,130.42533390219887
0.1,0.4,1e-07,0.3536965438214707,-9.559020242022598e-14,283.1596922931457,152.45657542263234
0.1,0.4,1e-08,0.35369654382144616,-8.981704269217516e-14,326.28214744160346,174.4878226354848
0.1,0.5,1e-05,0.3536965438215982,-1.3855583347321954e-13,197.85944241274098,107.4501923725047
0.1,0.5,1e-06,0.35369654382143245,-1.362243651215067e-13,240.98125642711528,129.48137184562896
0.1,0.5,1e-07,0.3536965438214499,-1.432187701766452e-13,284.10365410466125,151.51261323595628
0.1,0.5,1e-08,0.35369654382142635,-1.3733458814613186e-13,327.2261099018017,173.5438610805688
0.1,0.6,1e-05,0.35369654382164706,-9.992007221626409e-16,199.01452904263564,106.29510574242369
0.1,0.6,1e-06,0.3536965438214791,-6.217248937900877e-15,242.1363430577042,128.32628520502618
0.1,0.6,1e-07,0.3536965438215006,-4.440892098500626e-15,285.25874115469344,150.3575267497195
0.1,0.6,1e-08,0.3536965438214747,-5.218048215738236e-15,328.38119890694037,172.38877598629722
0.1,0.7,1e-05,0.35369654382164634,-5.218048215738236e-15,200.5871470063625,104.72248777882106
0.1,0.7,1e-06,0.35369654382148075,2.6645352591003757e-15,243.7089610118279,126.75366724464747
0.1,0.7,1e-07,0.35369654382149995,9.992007221626409e-16,286.83135889525096,148.78490872860291
0.1,0.7,1e-08,0.3536965438214754,-2.7755575615628914e-16,329.9538139724512,170.81615649075567
