N,n_seeds,mean_r2,sem_r2,mean_rms_cycle_distance,sem_rms_cycle_distance,mean_q95_cycle_distance
64,8,0.7460925904998318,0.002627899116084063,0.030334479157408323,0.0020409667065989226,0.05796932009369586
128,8,0.7399068892417907,0.0008051870784219782,0.01775447875849058,0.0008431401244281203,0.03418166139445533
256,8,0.7384888253346655,0.0003466136821719871,0.01341288234210197,0.0008283804559718259,0.026349516899386135
512,8,0.7377890959037869,0.0005457289782949586,0.00914691087227373,0.0005659405215198085,0.01752441033488679
1024,8,0.7386044983299451,0.00030784173873266987,0.00828971648609374,0.0005366259913682416,0.01588670613760923
2048,8,0.7380390606737081,0.00019532270235023862,0.004541775028251841,0.0003098878047630692,0.009020855775546384
