Delta,A_SN,A_EP,A_Hopf,SN_to_EP,EP_to_Hopf,lambda_EP,lambda_other_EP,spectral_abscissa_EP,sv1_shifted,sv2_shifted,sv3_shifted,Omega_Hopf,residual_SN,residual_EP,residual_Hopf
0.0,0.17834090261620283,0.17845421487754975,0.2777754846476288,0.00011331226134692063,0.09932126977007905,-0.02276564261847015,-0.16318039587002148,-0.022765642618470153,0.2220833855287014,0.07962019188453197,2.5377528052560105e-17,0.18851873149039342,9.445215603067645e-19,3.469446951953614e-18,0.0
0.00025,0.178865775504429,0.17899244748139864,0.279852876145054,0.00012667197696963894,0.10086042866365535,-0.02315041281017862,-0.1630204374681612,-0.023150408659684815,0.22048854467359455,0.07883914961154004,1.4198859310177721e-16,0.18853754822850502,1.872959252968709e-17,1.1102230246251565e-16,1.1102230246251565e-16
0.0005,0.17939114816615212,0.17953264717526246,0.2819361311489104,0.00014149900911034075,0.10240348397364796,-0.02353178122327579,-0.16286021016001373,-0.02353178122327583,0.2188835681837158,0.07806152844809977,1.3071658234554974e-16,0.18854007832835315,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
0.00075,0.17991702196879716,0.18007497337194506,0.28402536720667954,0.00015795140314789347,0.10395039383473448,-0.023909593482655873,-0.1626996100537273,-0.023909593482655936,0.21726826715726266,0.07728780808057666,1.389627260979662e-16,0.18852662746940776,2.2551405187698492e-17,5.551115123125783e-16,7.37257477290143e-18
0.001,0.18044339827930042,0.18061960298019653,0.2861206996643529,0.0001762047008961043,0.10550109668415636,-0.024283685462143986,-0.16253852398524585,-0.024283683364770204,0.21564245754506448,0.07651850289292902,3.831958853235412e-17,0.18849748827201512,1.1102230246251565e-16,1.1102230246251565e-16,1.474514954580286e-17
0.00125,0.1809702784641714,0.18116673240849818,0.28822224184546574,0.00019645394432676877,0.10705550943696757,-0.024653882651392376,-0.16237682875706097,-0.02465388255567445,0.21400596196695912,0.07575416386443182,1.1296840798154249e-18,0.18845294105302016,3.3306690738754696e-16,1.1102230246251565e-16,1.734723475976807e-18
0.0015,0.18149766388954872,0.18171657979385228,0.29033010521754815,0.00021891590430356267,0.10861352542369587,-0.025019999500641862,-0.16221439032476914,-0.025019999500641876,0.21235861182589377,0.07499538044487514,3.6665967683461154e-16,0.1883932545255988,3.3306690738754696e-16,3.3306690738754696e-16,5.204170427930421e-18
0.00175,0.18202555592125522,0.18226938747660226,0.2924443995471512,0.00024383155534704604,0.11017501207054892,-0.025381838748382825,-0.1620510629313477,-0.025381838748382818,0.21070024975859716,0.0742427823717492,2.715847062729411e-16,0.1883186864482812,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16
0.002,0.18255395592486087,0.182825424742633,0.2945652330444324,0.0002714688177721247,0.11173980830179939,-0.025739190738805574,-0.16188668819022223,-0.025739190738805425,0.20903073246487017,0.0734970413854608,1.401779044973695e-16,0.18822948422757682,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17
0.0022500000000000003,0.1830828652657304,0.18338499085412127,0.2966927124982564,0.000302125588390878,0.11330772164413513,-0.026091832738152333,-0.1617210941197228,-0.0260918327381522,0.20734993396046458,0.07275887278886031,3.40688561650066e-16,0.1881258854781984,1.1102230246251565e-16,3.3306690738754696e-16,6.938893903907228e-18
