purpose,beta,A,period,transverse_floquet_exponent,transverse_multiplier,inplane_floquet_exponent,inplane_multiplier,trivial_multiplier,half_peak_to_peak_r,period_cv_last_five,n_detected_maxima
homoclinic_period_and_transverse,0.06,0.32,43.3652961217108,-0.08726735585559554,0.022723066422967758,-0.008114867344138568,0.7033479036061762,1.0,0.3527498000821244,1.5113350938301888e-09,57
homoclinic_period_and_transverse,0.06,0.325,45.18898787043963,-0.08840105330061625,0.01841197289187598,-0.008948744716464844,0.6673873169956539,1.0,0.3687883447057332,5.205191379773817e-11,54
homoclinic_period_and_transverse,0.06,0.335,49.33378619301311,-0.09068453211068478,0.01140376952486329,-0.010632583460712209,0.5918242287204234,1.0,0.3981520566284181,6.372641796921956e-12,49
homoclinic_period_and_transverse,0.06,0.35,57.280060620687436,-0.0941874480060224,0.004538935655660157,-0.01323603925880288,0.46852719542538246,1.0,0.43682010497380813,6.612319186280258e-13,43
homoclinic_period_and_transverse,0.06,0.365,68.78528349425824,-0.09789092774199767,0.0011904127107259784,-0.016040071154600648,0.3317675049627834,1.0,0.47051660083203234,7.839677419051885e-13,36
homoclinic_period_and_transverse,0.06,0.375,80.43337817255042,-0.10060396876510443,0.00030600256755542403,-0.01815345985493223,0.23220281151003197,1.0,0.4692846539783742,3.881195029895639e-12,31
homoclinic_period_and_transverse,0.06,0.385,100.08731701818533,-0.10379393750678595,3.078580878779313e-05,-0.020743788532948563,0.12540708677091914,1.0,0.4598618732627069,9.055125712620307e-12,25
homoclinic_period_and_transverse,0.06,0.39,118.56699673115054,-0.10585084311906941,3.5434257595197087e-06,-0.022500874112682298,0.06940050968261606,1.0,0.4553755998741195,6.322610231014945e-13,21
homoclinic_period_and_transverse,0.06,0.392,130.82605777752633,-0.10690021721689018,8.438137905125993e-07,-0.023430320198390954,0.0466400145945567,1.0,0.4536766391754974,4.2826439660525266e-11,22
homoclinic_period_and_transverse,0.06,0.394,151.31923190034013,-0.10827903716504447,7.659755079069098e-08,-0.02468921213430005,0.023850439923530812,1.0,0.45208969371758667,4.491094437531905e-11,21
homoclinic_period_and_transverse,0.06,0.395,170.73506716260454,-0.1092822295818622,7.88495907059302e-09,-0.02563244054362995,0.012571078534944451,1.0,0.451346995735497,1.8791808093373405e-10,22
homoclinic_period_and_transverse,0.06,0.396,231.56098958968278,-0.1113388542826609,6.355279205512846e-12,-0.02762910123913714,0.0016651800480849963,1.0,0.45075914370568687,4.5567994628807483e-10,18
