case,A,time,delta_r_over_epsilon,delta_psi_over_epsilon
stable_node,0.17840322435994352,0.0,1.0,0.0
stable_node,0.17840322435994352,0.4062944519696228,1.0039150063627313,-0.005483479403544139
stable_node,0.17840322435994352,0.8125889039392457,1.0076952525948182,-0.010865541851306832
stable_node,0.17840322435994352,1.2188833559088685,1.011342986976171,-0.01614772114358954
stable_node,0.17840322435994352,1.6251778078784913,1.0148604246073365,-0.021331529036614606
stable_node,0.17840322435994352,2.031472259848114,1.0182497478829657,-0.026418455554594888
stable_node,0.17840322435994352,2.437766711817737,1.0215131069585925,-0.03140996929740612
stable_node,0.17840322435994352,2.8440611637873596,1.02465262021082,-0.03630751774392394
stable_node,0.17840322435994352,3.2503556157569826,1.0276703746910045,-0.04111252755108651
stable_node,0.17840322435994352,3.6566500677266056,1.030568426572532,-0.045826404848743
stable_node,0.17840322435994352,4.062944519696228,1.0333488015917722,-0.050450535530346986
stable_node,0.17840322435994352,4.469238971665851,1.036013495482807,-0.054986285539553606
stable_node,0.17840322435994352,4.875533423635474,1.0385644744060119,-0.05943500115277764
stable_node,0.17840322435994352,5.281827875605097,1.041003675370584,-0.06379800925776967
stable_node,0.17840322435994352,5.688122327574719,1.0433330066511,-0.0680766176282665
stable_node,0.17840322435994352,6.094416779544343,1.0455543481981848,-0.07227211519477035
stable_node,0.17840322435994352,6.500711231513965,1.0476695520433796,-0.07638577231151239
stable_node,0.17840322435994352,6.907005683483588,1.0496804426982855,-0.08041884101965305
stable_node,0.17840322435994352,7.313300135453211,1.0515888175480668,-0.08437255530677339
stable_node,0.17840322435994352,7.719594587422834,1.0533964472393935,-0.0882481313627083
stable_node,0.17840322435994352,8.125889039392456,1.0551050760628977,-0.09204676783177457
stable_node,0.17840322435994352,8.53218349136208,1.056716422330226,-0.09576964606144289
stable_node,0.17840322435994352,8.938477943331701,1.0582321787457594,-0.09941793034750525
stable_node,0.17840322435994352,9.344772395301325,1.0596540127730816,-0.10299276817578638
stable_node,0.17840322435994352,9.751066847270948,1.0609835669962615,-0.10649529046044758
stable_node,0.17840322435994352,10.15736129924057,1.0622224594760319,-0.10992661177893162
stable_node,0.17840322435994352,10.563655751210193,1.0633722841009285,-0.11328783060359562
stable_node,0.17840322435994352,10.969950203179817,1.064434610933467,-0.11658002953007832
stable_node,0.17840322435994352,11.376244655149439,1.0654109865514212,-0.11980427550244786
stable_node,0.17840322435994352,11.782539107119062,1.066302934384278,-0.1229616200351756
stable_node,0.17840322435994352,12.188833559088685,1.0671119550449322,-0.12605309943198034
stable_node,0.17840322435994352,12.595128011058307,1.0678395266566905,-0.12907973500158704
stable_node,0.17840322435994352,13.00142246302793,1.0684871051756495,-0.13204253327044352
stable_node,0.17840322435994352,13.407716914997554,1.0690561247085155,-0.13494248619243804
stable_node,0.17840322435994352,13.814011366967176,1.0695479978259252,-0.1377805713556597
stable_node,0.17840322435994352,14.220305818936799,1.0699641158713382,-0.1405577521862436
stable_node,0.17840322435994352,14.626600270906422,1.0703058492655544,-0.1432749781493415
stable_node,0.17840322435994352,15.032894722876044,1.070574547806927,-0.14593318494725843
stable_node,0.17840322435994352,15.439189174845668,1.0707715409673264,-0.14853329471479568
stable_node,0.17840322435994352,15.845483626815291,1.070898138183914,-0.1510762162118387
stable_node,0.17840322435994352,16.251778078784913,1.0709556291467903,-0.15356284501322903
stable_node,0.17840322435994352,16.658072530754534,1.070945284082571,-0.15599406369595883
stable_node,0.17840322435994352,17.06436698272416,1.0708683540339474,-0.15837074202372503
stable_node,0.17840322435994352,17.47066143469378,1.070726071135294,-0.16069373712888066
stable_node,0.17840322435994352,17.876955886663403,1.0705196488843707,-0.16296389369182027
stable_node,0.17840322435994352,18.283250338633028,1.0702502824101827,-0.1651820441178344
stable_node,0.17840322435994352,18.68954479060265,1.0699191487370454,-0.16734900871147076
stable_node,0.17840322435994352,19.09583924257227,1.0695274070449121,-0.1694655958484345
stable_node,0.17840322435994352,19.502133694541897,1.0690761989260154,-0.17153260214506522
stable_node,0.17840322435994352,19.90842814651152,1.0685666486378755,-0.17355081262542182
stable_node,0.17840322435994352,20.31472259848114,1.0679998633527241,-0.17552100088601172
stable_node,0.17840322435994352,20.721017050450765,1.067376933403398,-0.17744392925819494
stable_node,0.17840322435994352,21.127311502420387,1.0666989325257483,-0.17932034896829807
stable_node,0.17840322435994352,21.53360595439001,1.0659669180976181,-0.18115100029546893
stable_node,0.17840322435994352,21.939900406359634,1.065181931374433,-0.1829366127273037
stable_node,0.17840322435994352,22.346194858329255,1.0643449977214567,-0.18467790511327906
stable_node,0.17840322435994352,22.752489310298877,1.0634571268427544,-0.1863755858160194
stable_node,0.17840322435994352,23.158783762268502,1.0625193130069133,-0.1880303528604287
