M,eta,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,discriminant,g,gcrit,R_B,bounded_margin,spectral_gap,invariance_residual,spectral_abscissa
5,0.12,-0.05006258292060746,0.0,-0.07028593417260091,0.0,0.00040898393586150637,-0.006526884735730981,0.012035207032656092,0.47672436979858046,-0.5454677504802926,0.04797936880441839,1.7323588541904474e-16,-0.05006258292060757
5,0.121,-0.05011554013824595,0.0,-0.07020655272128011,0.0,0.00040364878661163704,-0.006555493217107881,0.011995277736361784,0.4795631781458506,-0.5400383163333023,0.048103592397791994,2.2020477927383277e-16,-0.05011554013824592
5,0.122,-0.05016874123452779,0.0,-0.07012685208655317,0.0,0.00039832618878173347,-0.006584222522123214,0.011955481312614225,0.4824084997265954,-0.5345640787830708,0.048228301739763405,1.4687241594834067e-16,-0.050168741234527886
5,0.123,-0.0502221949108302,0.0,-0.07004682296501,0.0,0.00039301587748657285,-0.006613072074905021,0.01191581686832807,0.4852601228370607,-0.5290452263683215,0.0483535074731449,1.6201383709116164e-16,-0.05022219491083004
5,0.124,-0.050275910115264985,0.0,-0.06996645582131061,0.0,0.0003877175902018723,-0.0066420413029081955,0.01187628351884572,0.4881178338435831,-0.5234819605676964,0.048479220463632136,2.540833358282155e-16,-0.05027591011526492
5,0.125,-0.05032989605385438,0.0,-0.06988574087688744,0.0,0.000382431066742549,-0.0066711296368833235,0.011836880387912191,0.490981417225876,-0.5178744958777406,0.048605451811292236,1.644683459088107e-16,-0.05032989605385429
5,0.126,-0.05038416220237243,0.0,-0.06980466809797285,0.0,0.00037715604924105103,-0.006700336510845875,0.011797606607648732,0.4938506556217716,-0.5122230598838927,0.048732212862737836,2.8158949604387197e-16,-0.05038416220237249
5,0.127,-0.0504387183189064,0.0,-0.06972322718290994,0.0,0.00037189228212583086,-0.00672966136204766,0.011758461318526965,0.49672532987345497,-0.5065278933242148,0.04885951522400578,2.2038007606808003e-16,-0.050438718318906374
5,0.128,-0.05049357445718865,0.0,-0.06964140754870161,0.0,0.00036663951210043913,-0.006759103630947172,0.01171944366934681,0.4996052190748891,-0.5007892501462642,0.04898737077420014,1.5765183358887385e-16,-0.05049357445718878
5,0.129,-0.050548740980761356,0.0,-0.06955919831671051,0.0,0.0003613974881219428,-0.006788662761182247,0.011680552817206395,0.5024901006209812,-0.49500739755583234,0.04911579167999659,3.0401204764907184e-16,-0.0505487409807613
