N,seed,dt,mean_r2,std_r2,rms_euclidean_gauge_distance,q95_euclidean_gauge_distance,rms_true_chordal_quotient_distance,q95_true_chordal_quotient_distance,quotient_search_validation_max_abs_gap,quotient_search_validation_failures,quotient_search_cycle_points
64,16400,0.02,0.7378775380380131,0.20499443797499228,0.028886897584087485,0.061594257764760796,0.02727646829595406,0.05846349929032256,0.0,0,8000
64,16401,0.02,0.7420249963025395,0.20820418443984956,0.030015883197566866,0.06031914318413066,0.028108222402297066,0.0557421271606659,0.0,0,8000
64,16402,0.02,0.7482976856060893,0.20538255445950082,0.030782155500174206,0.05966747606751724,0.028859116527233553,0.054903562788124055,0.0,0,8000
128,22800,0.02,0.7430809286529766,0.20315053027159363,0.020249419058624353,0.03671897332284152,0.018977734863045357,0.03349523607178706,0.0,0,8000
128,22801,0.02,0.7412502243064785,0.20369397572461845,0.01967684457661532,0.03612370825268593,0.018457861739305102,0.033788956884379925,0.0,0,8000
128,22802,0.02,0.7395612745501909,0.2012302266881353,0.016584893828289236,0.032503745353693644,0.01560461092534316,0.030462537797055822,0.0,0,8000
256,35600,0.02,0.7372981038055941,0.20313782691949284,0.01678565572843903,0.0343808547448717,0.01581349966641754,0.03212302224936822,0.0,0,8000
256,35601,0.02,0.7379975682385977,0.20292907454874767,0.013926339982467716,0.028331417454866843,0.013032612245646604,0.026416071703415703,0.0,0,8000
256,35602,0.02,0.7395198476942394,0.19969764848119292,0.01277890196154808,0.024502993129829787,0.012086955803321118,0.02337972051256356,0.0,0,8000
512,61200,0.02,0.7413722831190995,0.19793002521344916,0.01038479550790025,0.019047214480581325,0.009697135279375955,0.017465498329937826,0.0,0,8000
512,61201,0.02,0.7371596347752178,0.2022078819597468,0.010040572476889635,0.018365451154971936,0.009435616479838064,0.017265216467843597,0.0,0,8000
512,61202,0.02,0.7367449717067881,0.2017992891054069,0.006859156358349393,0.013463736704695264,0.0064858078198895336,0.012735393770379595,0.0,0,8000
1024,112400,0.02,0.7392132126915033,0.19963842048820316,0.009463653088887122,0.01958154192541243,0.008853390667985508,0.018076092102569403,0.0,0,8000
1024,112401,0.02,0.7376021927042486,0.20193138748205747,0.007842840843263912,0.01539413503490038,0.007347503507916616,0.014458708916415453,0.0,0,8000
1024,112402,0.02,0.7396787689070666,0.19922612695203026,0.009122324387482242,0.017200708883472353,0.008552619035261413,0.015932194486813475,0.0,0,8000
2048,214800,0.02,0.7374041210090008,0.20154048169464447,0.0053737120331921635,0.01111016666438265,0.005033446597141907,0.010240554014840628,0.0,0,8000
2048,214801,0.02,0.7381201586910189,0.20018394367012968,0.0046990402964993605,0.009015147836656065,0.004408847479927233,0.008355629579705355,0.0,0,8000
2048,214802,0.02,0.7375628109214003,0.20068313347104716,0.003914080192915118,0.007658396272746637,0.0037073944507361456,0.007418478116832145,0.0,0,8000
