tag,beta,A,r,psi,J11,J12,J21,J22,trace,determinant,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,s,g,gcrit,abs_g_over_gcrit,lambda_transverse
locked,0.1,0.17834091120330217,0.8205942876538777,-0.21775731436649093,0.009605861979234145,0.06662895408269776,-0.008155999759242305,-0.05611706947157391,-0.046511207492339765,4.37290943401645e-06,0.0021458007846594167,-0.04641699826733061,0.0,-9.420922500914808e-05,0.0,0.029236477161727725,0.03739247692097003,0.04398462829728279,0.8501260183044448,-0.16414900663250215
locked,0.1,0.17834091236204974,0.8205911408789024,-0.2177568609807523,0.009606013872055646,0.06663001106831103,-0.008160230236346377,-0.05611667204818263,-0.046510658176126984,4.65870081928568e-06,0.0021446065206993854,-0.046410277375089445,0.0,-0.00010038080103753899,0.0,0.029234890415982324,0.0373951206523287,0.04398348188555638,0.8502082838650568,-0.16414845743197115
locked,0.1,0.1783409136771593,0.8205877884518206,-0.21775637798449232,0.009606175691590082,0.06663113712038166,-0.008164737134935707,-0.056116248645040834,-0.04651007295345075,4.963175952556975e-06,0.0021433341823250828,-0.0464031151352506,0.0,-0.0001069578182001582,0.0,0.029233199992722975,0.03739793712765868,0.04398226059430759,0.8502959289113692,-0.16414787234058675
locked,0.1,0.17834091516973039,0.8205842169304107,-0.217755863444914,0.009606348086688338,0.06663233675187268,-0.00816953851569191,-0.05611579756309046,-0.04650944947640212,5.287556931793296e-06,0.0021419786628708282,-0.04639548241200481,0.0,-0.00011396706439731341,0.0,0.029231399118090383,0.03740093763378229,0.04398095953482347,0.850389305494092,-0.16414724901254663
locked,0.1,0.17834091686370981,0.820580411985967,-0.2177553153021125,0.009606531748991783,0.06663361477316743,-0.008174653629384188,-0.05611531699110126,-0.04650878524210948,5.633146564708622e-06,0.0021405345184378264,-0.046387348109047544,0.0,-0.00012143713306193155,0.0,0.02922948057189162,0.03740413420127581,0.04397957349675537,0.8504887889382404,-0.16414658494736972
locked,0.1,0.17834091878627567,0.8205763583680227,-0.2177547313640838,0.009606727414635282,0.06663497630386825,-0.008180102964039704,-0.05611480500118404,-0.04650807758654876,6.001331600200255e-06,0.0021389959543956383,-0.04637867908450723,0.0,-0.00012939850204153613,0.0,0.029227436669914272,0.037407539633953976,0.04397809693546035,0.8505947787793334,-0.16414587748374532
locked,0.1,0.17834092096827356,0.8205720398118835,-0.21775410929350014,0.009606935868710439,0.0666364268037999,-0.008185908368991246,-0.056114259537078756,-0.046507323668368315,6.39359116000945e-06,0.002137356790154334,-0.04636943994219046,0.0,-0.00013788372617785927,0.0,0.029225259217404327,0.03741116758639557,0.04397652393852836,0.8507077011973472,-0.16414512378340118
locked,0.1,0.17834092344471136,0.8205674389962091,-0.21775344660171583,0.009607157947313337,0.06663797208719255,-0.008192093111578425,-0.05611367840875642,-0.04650652046144308,6.8115006273764026e-06,0.0021356104429211186,-0.046359592928280444,0.0,-0.00014692753316263019,0.0,0.029222939487807062,0.03741503259938549,0.04397484821057781,0.8508280101438893,-0.1641443208237072
locked,0.1,0.17834092625532094,0.8205625374646414,-0.21775274063760572,0.009607394541327509,0.06663961834893292,-0.008198681982153455,-0.05611305928247619,-0.04650566474114868,7.256738807330464e-06,0.0021337498977867975,-0.046349097749347146,0.0,-0.00015656699180152667,0.0,0.029220468183389733,0.03741915016554319,0.04397306304498438,0.8509561894122194,-0.16414346538400554
locked,0.1,0.1783409294451956,0.8205573155554303,-0.21775198857757525,0.009607646599821043,0.06664137218811925,-0.008205701388280584,-0.05611239967184572,-0.046504753072024674,7.73109436596528e-06,0.002131767680826127,-0.04633791140541772,0.0,-0.0001668416666069511,0.0,0.02921783539991933,0.037423536788199915,0.04397116129856345,0.8510927545009495,-0.16414255403333763
locked,0.1,0.17834093306551363,0.8205517523168354,-0.21775118741354074,0.009607915134130202,0.06664324063638206,-0.008213179468006482,-0.056111696927078174,-0.04650378179294797,8.236473568746841e-06,0.002129655826771132,-0.04632598799024524,0.0,-0.0001777938027027262,0.0,0.02921503058418779,0.03742821005219427,0.04396913536111393,0.8512382548530982,-0.16414158311568966
locked,0.1,0.1783409371743592,0.8205458254315979,-0.21775033394224166,0.00960820122150533,0.0666452311831453,-0.008221146190864892,-0.05611094822538634,-0.04650274700388101,8.774907201645753e-06,0.0021274058501003813,-0.04631327850835954,0.0,-0.00018946849552148315,0.0,0.029212042496140206,0.0374331886870051,0.04396697712831781,0.8513932758614761,-0.1641405487368228
locked,0.1,0.17834094183765448,0.8205395111141437,-0.21774942475064804,0.009608506010072874,0.06664735181003208,-0.008229633495478894,-0.056110150557924135,-0.04650164454785126,9.348559978898018e-06,0.0021250087057391124,-0.04629973063060878,0.0,-0.0002019139172424883,0.0,0.02920885915727659,0.037438492652755485,0.04396467796476172,0.8515584415917464,-0.16413944674634573
locked,0.1,0.1783409471302172,0.8205327840274469,-0.21774845620423347,0.009608830722848722,0.06664961101864939,-0.008238675400637385,-0.05610930071920013,-0.04650046999635141,9.959738173188957e-06,0.002122454757188822,-0.04628528848839372,0.0,-0.00021518150795768465,0.0,0.029205467809006,0.037444143209643385,0.043962228674186754,0.8517344169957747,-0.1641382727232205
locked,0.1,0.17834095313696108,0.8205256171718245,-0.217747424431236,0.009609176663106057,0.06665201786778178,-0.00824830815402322,-0.056108395292934654,-0.0464992186298286,1.0610899807728514e-05,0.002119733733953685,-0.04626989240371278,0.0,-0.00022932622611582937,0.0,0.029201854856879282,0.0374501630109025,0.043959619459585764,0.8519219108648626,-0.16413702195637145
locked,0.1,0.17834095995425803,0.8205179817806934,-0.21774632530796273,0.009609545219407522,0.06665458200822469,-0.008258570371468932,-0.0561074306387826,-0.04649788541937508,1.130466422761805e-05,0.0021168346915628614,-0.04625347862960376,0.0,-0.00024440678977132035,0.0,0.02919800581837788,0.03745657618984681,0.043956839885921216,0.8521216786069202,-0.16413568942651197
locked,0.1,0.1783409676914845,0.8205098472036902,-0.2177451544423172,0.009609937871247216,0.06665731372183711,-0.008269503193080396,-0.05610640287744472,-0.0464964650061975,1.2043822833483949e-05,0.002113745966738613,-0.04623597905826708,0.0,-0.00026048594793041946,0.0,0.02919390526437836,0.037463408457458755,0.04395387883833514,0.852334525361261,-0.16413426978576812
locked,0.1,0.1783409764727763,0.8205011807835455,-0.2177439071564773,0.009610356194994276,0.06666022396266459,-0.008281150447621566,-0.05610530787497293,-0.04649495167997865,1.2831350398666503e-05,0.0021104551301288836,-0.04621732090982428,0.0,-0.00027763077015437176,0.0,0.029189536757521513,0.03747068720514308,0.04395072447819142,0.8525613092848158,-0.16413275733621568
