event,beta,A,r,psi,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda_transverse
SN,0.1,0.17834090261620295,0.8206424445437417,-0.21776425502468358,1.0408340855860843e-16,0.0,-0.0465196132153447,0.0,-0.16415741149822755
EP,0.1,0.17845421487754967,0.8150344863116703,-0.21698330159872808,-0.022765641727624953,0.0,-0.02276564350931538,0.0,-0.16318039587002153
Hopf,0.1,0.2777754846476286,0.5894803099638599,-0.2043074606887531,6.938893903907228e-18,0.18851873149039358,6.938893903907228e-18,-0.18851873149039358,-0.12756469233992948
BT,0.2239161984644664,0.33720300374333123,0.6589829632931832,-0.5235987755982993,0.0,0.0,0.0,0.0,-0.2969255899462441
