A,r,psi,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,g_declared_metric,gcrit_declared_metric,R_B_declared_metric,bounded_margin,lambda_transverse
0.17834092261620293,0.820568946180197,-0.21775366368909746,0.0021361825352874553,-0.046362819172765905,0.0,-0.0001439644131826165,0.0,0.0551224820253409,0.05977067557302573,0.6779450182135893,-0.08078110455875209,-0.1641445838654998
0.17834509290050132,0.8195759502242546,-0.21761152310925652,0.0017581205254984088,-0.04413153344804793,0.0,-0.0022015856124208352,0.0,0.05584362459882157,0.05964931298605804,0.6834354707903385,-0.06583191453117676,-0.16397133567374989
0.1783492631847997,0.8191343440783021,-0.21754887508522308,0.0015892534756973848,-0.04306056653066545,0.0,-0.003195124407224914,0.0,0.056163550365624634,0.0595957864164607,0.6858398404763304,-0.059247426430803385,-0.16389432388490144
0.1783534334690981,0.818794590441063,-0.21750091038398348,0.0014590266167783597,-0.04219662333054312,0.0,-0.003999416406759319,0.0,0.05640936375275733,0.05955478967459698,0.6876742094728718,-0.054208363251721625,-0.16383508901804342
0.1783576037533965,0.8185076403009699,-0.2174605577658593,0.0013488311274437812,-0.041436020535151476,0.0,-0.004709584178709529,0.0,0.056616755079603134,0.05952028845364169,0.6892130970791359,-0.0499706136291711,-0.1637850703283319
0.17836177403769488,0.8182544569567707,-0.2174250727963374,0.001251444739890183,-0.04073841408214008,0.0,-0.005362649215636013,0.0,0.056799576315045654,0.05948994078448255,0.6905630457460868,-0.046245359699775945,-0.16374094524597685
0.17836594432199326,0.8180252682911373,-0.21739304668656406,0.001163160099395653,-0.04008292147232706,0.0,-0.0059777884364385775,0.0,0.05696493809004405,0.059462544483493675,0.6917787455466496,-0.042884334419807546,-0.16370100819069633
0.17837011460629165,0.8178142660795407,-0.21736364210634074,0.001081773708521994,-0.03945692964941997,0.0,-0.006566601154222564,0.0,0.05711706672602068,0.059437385024201705,0.692892701635229,-0.03979940804126714,-0.1636642454193031
0.17837428489059004,0.8176176645794931,-0.21733631329707206,0.0010058493704513498,-0.03885199682464795,0.0,-0.007136868408522137,0.0,0.05725871689474657,0.05941399669308212,0.693926100012744,-0.03693313544220633,-0.16362999618256052
0.17837845517488843,0.8174328335264237,-0.21731068107901597,0.0009343892562418705,-0.03826201773145495,0.0,-0.007694236388317344,0.0,0.05739180249025691,0.05939205592620218,0.6948936599557076,-0.03424560270672272,-0.16359780140289265
0.17838262545918682,0.8172578574687147,-0.21728646932250653,0.0008666667219864657,-0.03768228348672635,0.0,-0.008243079659406793,0.0,0.0575177172767546,0.0593713270967164,0.69580610029311,-0.03170774158978917,-0.16356732676298338
0.17838679574348518,0.8170912901758614,-0.21726346954216832,0.0008021331348836685,-0.03710894744418482,0.0,-0.008786992446627374,0.0,0.05763751359236139,0.05935163230131553,0.6966715138993608,-0.029297603442345554,-0.16353831984139236
0.17839096602778357,0.8169320079339538,-0.21724151974731756,0.0007403622160491209,-0.03653869304474966,0.0,-0.009329095178387835,0.0,0.05775200909793729,0.05933283331226069,0.6974961887401362,-0.02699813338596857,-0.16351058450744752
0.17839513631208195,0.8167791170232362,-0.21722049110355166,0.0006810149392999943,-0.03596850754610145,0.0,-0.009872244608661603,0.0,0.05786185410055583,0.059314820195116566,0.6982851256775224,-0.02479576651505344,-0.16348396477280297
