N,seed,dt,mean_r2,std_r2,rms_euclidean_gauge_distance,q95_euclidean_gauge_distance,rms_true_chordal_quotient_distance,q95_true_chordal_quotient_distance,quotient_search_validation_max_abs_gap,quotient_search_validation_failures,quotient_search_cycle_points
64,16400,0.04,0.7378775371710791,0.20499443780479865,0.0288868976245774,0.06159427728181885,0.02727646833641567,0.05846348656646423,0.0,0,8000
64,16401,0.04,0.7420249949537788,0.2082041840269551,0.0300158829265583,0.060319152835106284,0.02810822213917232,0.05574212726318801,0.0,0,8000
64,16402,0.04,0.7482976837117629,0.20538255481995824,0.03078215508677326,0.05966747595300809,0.028859116129022547,0.05490352735864197,0.0,0,8000
64,16403,0.04,0.73955864021888,0.20699296841587086,0.032523454597123656,0.05882713050869112,0.030480015849888176,0.05451370968416845,0.0,0,8000
64,16404,0.04,0.7395417231205379,0.20491234175744746,0.02118432066041022,0.03935148301115085,0.019898525290656235,0.036558602267148466,0.0,0,8000
64,16405,0.04,0.7582540286268158,0.20586371346957005,0.041266487167249066,0.0775039112236192,0.038678785917285734,0.07216125564193437,0.0,0,8000
64,16406,0.04,0.7529743085099424,0.20326628906304103,0.037401624681008265,0.07253060574852464,0.035095665805594554,0.06832305496358891,0.0,0,8000
64,16407,0.04,0.7502118076858574,0.20250342015863992,0.03646576017631845,0.06722033683479159,0.03427903379123135,0.06308879700443251,0.0,0,8000
128,22800,0.04,0.7430809293803807,0.20315052838533149,0.020249418825973125,0.036718971875693895,0.01897773464757319,0.03349523536881005,0.0,0,8000
128,22801,0.04,0.7412502230784466,0.2036939757448526,0.01967684426796328,0.036123709603398946,0.018457861445278424,0.033788949677622526,0.0,0,8000
128,22802,0.04,0.7395612738740766,0.20123022669209872,0.01658489373618707,0.03250375136644139,0.015604610832824809,0.03046254028402146,0.0,0,8000
128,22803,0.04,0.7379623172762902,0.2040447569372411,0.021576927267735038,0.043041113274819506,0.020296344478151745,0.040632826236732755,0.0,0,8000
128,22804,0.04,0.7378503582943767,0.20374942021960235,0.02183215809423368,0.047536526060363515,0.020568571376622297,0.044314005958518775,0.0,0,8000
128,22805,0.04,0.7429721056681402,0.1994662917272435,0.01975641568436951,0.035517219875609615,0.01859119825048692,0.03312970403326366,0.0,0,8000
128,22806,0.04,0.7373762438159348,0.2026339966624083,0.015201015805274214,0.030006152414499138,0.014383047181251768,0.027887854530024674,0.0,0,8000
128,22807,0.04,0.7392016625466797,0.20227583032082655,0.01608440410181292,0.031170352131451695,0.0151564618557355,0.029742175066648745,0.0,0,8000
256,35600,0.04,0.73729810286039,0.20313782667051225,0.016785655602895508,0.03438082239023901,0.015813499563735598,0.032123019292747655,0.0,0,8000
256,35601,0.04,0.7379975672720271,0.20292907434077084,0.013926339828591247,0.028331420087297804,0.013032612098800215,0.026416071204303265,0.0,0,8000
256,35602,0.04,0.7395198472566245,0.19969764811503926,0.012778901836588873,0.024503009431434165,0.012086955716198299,0.023379719455355816,0.0,0,8000
256,35603,0.04,0.7386811311734554,0.20407238418391346,0.016784370477773636,0.03388020239888165,0.015663010871629978,0.03142565694050008,0.0,0,8000
256,35604,0.04,0.7395904006290749,0.19972477014977846,0.011889744634158447,0.020908929929764165,0.011172916045321333,0.019361417592816937,0.0,0,8000
256,35605,0.04,0.7379246287636351,0.20239824623351801,0.012854846635443293,0.02601504649528536,0.012132738188106042,0.024326259972260962,0.0,0,8000
256,35606,0.04,0.7373463142567652,0.20193965754539095,0.011221376752876246,0.023604560151560407,0.01062841540489808,0.022153492979813026,0.0,0,8000
256,35607,0.04,0.7395526104653517,0.20334140803993184,0.017909891290387673,0.03477609929560229,0.016772910848126203,0.03161049775729134,0.0,0,8000
512,61200,0.04,0.7413722828811797,0.19793002434661192,0.010384795330584833,0.019047226864208608,0.009697135108177305,0.017465499558348592,0.0,0,8000
512,61201,0.04,0.7371596339290297,0.202207881757114,0.010040572401597463,0.018365447427887368,0.009435616406133529,0.017265215778444747,0.0,0,8000
512,61202,0.04,0.7367449708581807,0.20179928888905269,0.006859156283295145,0.013463724301517602,0.006485807830677785,0.012735395642924864,0.0,0,8000
512,61203,0.04,0.7372214217092083,0.20243820435144128,0.011564443592039121,0.023586968460740806,0.010853899121937507,0.021984113041597,0.0,0,8000
512,61204,0.04,0.737761810362549,0.20156147757090206,0.010528972589754973,0.02115449817070368,0.009944621374679684,0.019848990011001884,0.0,0,8000
512,61205,0.04,0.7382817714067053,0.20061834986557867,0.008890861350552684,0.016971966126339694,0.008341527932695537,0.015690489110819848,0.0,0,8000
512,61206,0.04,0.736608530580563,0.2018911214207973,0.007880440737364741,0.015149178483297825,0.007438839791533727,0.014225781997666602,0.0,0,8000
512,61207,0.04,0.7371623455028796,0.20258634878825438,0.011710194959132062,0.02231895192226814,0.01097783941235477,0.02097979753829079,0.0,0,8000
1024,112400,0.04,0.7392132124373306,0.19963842000569834,0.009463653052948636,0.01958155680981411,0.008853390626740041,0.01807608911671905,0.0,0,8000
1024,112401,0.04,0.7376021918803176,0.2019313873262709,0.007842840786280357,0.015394147334528426,0.007347503511386801,0.0144587085191531,0.0,0,8000
1024,112402,0.04,0.7396787684674918,0.19922612668113612,0.009122324202481902,0.017200709014174642,0.008552618866507792,0.01593220607931378,0.0,0,8000
1024,112403,0.04,0.7382618049395915,0.20241382172038738,0.01036472424822033,0.019660603835627233,0.00967392033529712,0.018274198270048704,0.0,0,8000
1024,112404,0.04,0.7382188884814164,0.2000168030335842,0.007466296755104312,0.013568521486127623,0.007007274647989637,0.012466723309588349,0.0,0,8000
1024,112405,0.04,0.739165042091553,0.20226167907905562,0.01178060821715747,0.0226439726731317,0.011002848523624025,0.021369354844233118,0.0,0,8000
