M,eta,Re_lambda,abs_Im_lambda,g,s,D,cond_eigenvectors,max_Re_full
4.000000000000000000e+00,4.550000000000000155e-01,-3.719005812891429397e-02,2.626889065748981913e-02,2.626889065748981913e-02,-6.591949208711866959e-17,-2.760218465500623771e-03,1.000000000000002665e+00,-3.719005812891429397e-02
4.000000000000000000e+00,4.600000000000000200e-01,-3.711340066243584701e-02,2.655548795193201500e-02,2.655548795193201153e-02,-3.816391647148975608e-17,-2.820775761460824708e-03,1.000000000000001110e+00,-3.711340066243584701e-02
4.000000000000000000e+00,4.650000000000000244e-01,-3.703595031523661263e-02,2.684202088986458942e-02,2.684202088986459289e-02,-1.266348137463069179e-16,-2.881976341807708508e-03,1.000000000000004663e+00,-3.703595031523661263e-02
4.000000000000000000e+00,4.700000000000000289e-01,-3.695770847375760837e-02,2.712848901687858055e-02,2.712848901687857708e-02,8.673617379884035472e-17,-2.943819665355606411e-03,1.000000000000003331e+00,-3.695770847375760837e-02
4.000000000000000000e+00,4.750000000000000333e-01,-3.687867654803586581e-02,2.741489151782410330e-02,2.741489151782409983e-02,1.023486850826316186e-16,-3.006305107736255595e-03,1.000000000000003553e+00,-3.687867654803586581e-02
4.000000000000000000e+00,4.799999999999999822e-01,-3.679885595244587748e-02,2.770122828461471509e-02,2.770122828461471509e-02,6.938893903907228378e-17,-3.069432193905353122e-03,1.000000000000002665e+00,-3.679885595244587748e-02
4.000000000000000000e+00,4.849999999999999867e-01,-3.671824810545355061e-02,2.798749863012886183e-02,2.798749863012886183e-02,-9.020562075079396891e-17,-3.133200318285859522e-03,1.000000000000003109e+00,-3.671824810545355061e-02
4.000000000000000000e+00,4.899999999999999911e-01,-3.663685438646942932e-02,2.827370202667494475e-02,2.827370202667494475e-02,5.030698080332740574e-17,-3.197608905172811058e-03,1.000000000000001776e+00,-3.663685438646942932e-02
4.000000000000000000e+00,4.949999999999999956e-01,-3.655467621601096728e-02,2.855983794705249310e-02,2.855983794705248963e-02,-1.231653667943533037e-16,-3.262657374247597726e-03,1.000000000000004441e+00,-3.655467621601096728e-02
4.000000000000000000e+00,5.000000000000000000e-01,-3.647171512665358523e-02,2.884590615055210305e-02,2.884590615055210999e-02,-4.683753385137379155e-17,-3.328345206585839929e-03,1.000000000000001776e+00,-3.647171512665358523e-02
4.000000000000000000e+00,5.050000000000000044e-01,-3.638797251434265634e-02,2.913190594239729522e-02,2.913190594239729869e-02,1.214306433183764966e-16,-3.394671775346732277e-03,1.000000000000004663e+00,-3.638797251434265634e-02
4.000000000000000000e+00,5.100000000000000089e-01,-3.630344981156891082e-02,2.941783680269581883e-02,2.941783680269582230e-02,-6.071532165918824830e-17,-3.461636488600178686e-03,1.000000000000002220e+00,-3.630344981156891082e-02
4.000000000000000000e+00,5.150000000000000133e-01,-3.621814853018933550e-02,2.970369839234506676e-02,2.970369839234506676e-02,5.377642775528101993e-17,-3.529238792733611907e-03,1.000000000000001998e+00,-3.621814853018933550e-02
4.000000000000000000e+00,5.200000000000000178e-01,-3.613207016423244933e-02,2.998949026036739143e-02,-2.998949026036738796e-02,3.989863994746656317e-17,-3.597478104306682089e-03,1.000000000000001110e+00,-3.613207016423244933e-02
4.000000000000000000e+00,5.250000000000000222e-01,-3.604521617721753723e-02,3.027521179042763633e-02,-3.027521179042763633e-02,-3.642919299551294898e-17,-3.666353795820993973e-03,1.000000000000000888e+00,-3.604521617721753723e-02
4.000000000000000000e+00,5.300000000000000266e-01,-3.595758809214420759e-02,3.056086272440200133e-02,-3.056086272440200480e-02,6.765421556309547668e-17,-3.735865321838976148e-03,1.000000000000002442e+00,-3.595758809214420759e-02
4.000000000000000000e+00,5.350000000000000311e-01,-3.586918739996104027e-02,3.084644248387899759e-02,-3.084644248387899759e-02,4.857225732735059864e-17,-3.806012055645020386e-03,1.000000000000001554e+00,-3.586918739996104027e-02
4.000000000000000000e+00,5.400000000000000355e-01,-3.578001565613388169e-02,3.113195065077602880e-02,-3.113195065077602880e-02,4.683753385137379155e-17,-3.876793405289415649e-03,1.000000000000001554e+00,-3.578001565613388169e-02
4.000000000000000000e+00,5.450000000000000400e-01,-3.569007433832545317e-02,3.141738680233889525e-02,-3.141738680233889525e-02,-1.006139616066548115e-16,-3.948208773951112326e-03,1.000000000000003331e+00,-3.569007433832545317e-02
4.000000000000000000e+00,5.500000000000000444e-01,-3.559936498234510943e-02,3.170275050887781665e-02,-3.170275050887781665e-02,1.075528555105620399e-16,-4.020257559312611154e-03,1.000000000000003775e+00,-3.559936498234510943e-02
4.000000000000000000e+00,5.550000000000000488e-01,-3.550788918931041538e-02,3.198804137262289959e-02,-3.198804137262289959e-02,7.285838599102589797e-17,-4.092939163426538227e-03,1.000000000000002442e+00,-3.550788918931041538e-02
4.000000000000000000e+00,5.600000000000000533e-01,-3.541564848418120304e-02,3.227325893488565411e-02,-3.227325893488565411e-02,1.110223024625156540e-16,-4.166252969112707247e-03,1.000000000000003331e+00,-3.541564848418120304e-02
4.000000000000000000e+00,5.650000000000000577e-01,-3.532264443400327802e-02,3.255840265407915213e-02,-3.255840265407915213e-02,1.387778780781445676e-17,-4.240198333540593292e-03,1.000000000000000444e+00,-3.532264443400327802e-02
4.000000000000000000e+00,5.700000000000000622e-01,-3.522887859774183339e-02,3.284347232660545651e-02,-3.284347232660544957e-02,-3.122502256758252770e-17,-4.314774697873992489e-03,1.000000000000000888e+00,-3.522887859774183339e-02
4.000000000000000000e+00,5.750000000000000666e-01,-3.513435254565952515e-02,3.312846751211282609e-02,-3.312846751211282609e-02,6.938893903907228378e-17,-4.389981438804460047e-03,1.000000000000002220e+00,-3.513435254565952515e-02
4.000000000000000000e+00,5.799999999999999600e-01,-3.503906790257123316e-02,3.341338775796501293e-02,-3.341338775796501293e-02,3.122502256758252770e-17,-4.465817925856503841e-03,1.000000000000000888e+00,-3.503906790257123316e-02
4.000000000000000000e+00,5.849999999999999645e-01,-3.494302623528613982e-02,3.369823250486081445e-02,-3.369823250486081445e-02,2.081668171172168513e-17,-4.542283495806632120e-03,1.000000000000000444e+00,-3.494302623528613982e-02
4.000000000000000000e+00,5.899999999999999689e-01,-3.484622919125700269e-02,3.398300176202225659e-02,-3.398300176202226353e-02,-3.469446951953614189e-18,-4.619377635030431917e-03,1.000000000000000000e+00,-3.484622919125700269e-02
4.000000000000000000e+00,5.949999999999999734e-01,-3.474867830284568415e-02,3.426769482105589820e-02,-3.426769482105589126e-02,1.006139616066548115e-16,-4.697099633396083565e-03,1.000000000000002887e+00,-3.474867830284568415e-02
4.000000000000000000e+00,5.999999999999999778e-01,-3.465037527315965871e-02,3.455231135467176640e-02,-3.455231135467176640e-02,-4.510281037539698445e-17,-4.775448879800719103e-03,1.000000000000001332e+00,-3.465037527315965871e-02
4.000000000000000000e+00,6.049999999999999822e-01,-3.455132167324742598e-02,3.483685112350110025e-02,-3.483685112350110025e-02,-1.526556658859590243e-16,-4.854424784803919313e-03,1.000000000000004663e+00,-3.455132167324742598e-02
4.000000000000000000e+00,6.099999999999999867e-01,-3.445151916411807319e-02,3.512131367681997629e-02,-3.512131367681997629e-02,-4.857225732735059864e-17,-4.934026697542327929e-03,1.000000000000001554e+00,-3.445151916411807319e-02
4.000000000000000000e+00,6.149999999999999911e-01,-3.435096935765840492e-02,3.540569859696351962e-02,-3.540569859696351962e-02,4.857225732735059864e-17,-5.014253972556097921e-03,1.000000000000001110e+00,-3.435096935765840492e-02
